graduation_year,rows,unique_schools,strict_rows_with_closure,broad_rows_with_closure,strict_total_closure_days,broad_total_closure_days,strict_max_closure_days,broad_max_closure_days,strict_share_rows_with_closure,broad_share_rows_with_closure,students,mean_eligibility_rate,student_weighted_eligibility_rate,mean_recipient_rate,student_weighted_recipient_rate,mean_acceptance_rate,student_weighted_acceptance_rate,mean_exposure_index_pointmax,student_weighted_exposure_index_pointmax,mean_exposure_index_stormmax,student_weighted_exposure_index_stormmax,mean_within_50km_hurricane,student_weighted_within_50km_hurricane,mean_within_100km_hurricane,student_weighted_within_100km_hurricane,mean_within_50km_major_hurricane,student_weighted_within_50km_major_hurricane
1999,141,141,0,0,0,0,0,0,0.0,0.0,9879,0.8781362211211089,0.8831865573438608,0.7511635768372126,0.7486587711306812,0.8563050501889633,0.8484832143591124,0.3572232253987619,0.38287640864231914,0.540187562039721,0.5801153976608179,0.0,0.0,0.028368794326241134,0.04008502884907379,0.0,0.0
2000,178,178,0,0,0,0,0,0,0.0,0.0,13376,0.8293136067015581,0.8425538277511961,0.6157147267199765,0.6427183014354066,0.7367954981783793,0.7600948751492781,0.18065394904654652,0.17896385867521913,0.1812166078276085,0.17954173084528324,0.0,0.0,0.0,0.0,0.0,0.0
2001,178,178,0,0,0,0,0,0,0.0,0.0,13376,0.8293136067015581,0.8425538277511961,0.6157147267199765,0.6427183014354066,0.7367954981783793,0.7600948751492781,0.13647144948760392,0.13897206913220636,0.15910283483097917,0.1617937255068836,0.0,0.0,0.0,0.0,0.0,0.0
2002,169,169,0,0,0,0,0,0,0.0,0.0,13272,0.8427489612623675,0.8534508740204942,0.637535380926202,0.6674954792043399,0.7523349550621277,0.7796950684901306,0.3014379707624679,0.33047446046067497,0.46329739950244764,0.49970162950115465,0.0,0.0,0.0,0.0,0.0,0.0
2003,214,214,0,0,0,0,0,0,0.0,0.0,20347,0.5411995509929756,0.5734014842482922,0.4206865077266915,0.45186022509460855,0.750659249514624,0.7685113077664678,0.632421564275298,0.6636475167008093,1.3676486388245819,1.4011950392203965,0.0,0.0,0.1261682242990654,0.12355629822578267,0.0,0.0
2004,215,215,0,0,0,0,0,0,0.0,0.0,20341,0.5838741543102606,0.6096553758418957,0.44368845543189156,0.46969175556757287,0.7334641751113656,0.7489396468562655,0.3493438775532612,0.40057294015798617,0.3802237579479435,0.43546627958661094,0.0,0.0,0.0,0.0,0.0,0.0
2005,215,215,0,0,0,0,0,0,0.0,0.0,21009,0.5736271121794286,0.5982674092055785,0.4264334632998594,0.45109238897615306,0.714822983678393,0.7292525264553978,0.3298642233614319,0.35623111394829965,0.7748240724411006,0.7580696966727878,0.0,0.0,0.0,0.0,0.0,0.0
2006,213,213,10,18,178,186,25,25,0.046948356807511735,0.08450704225352113,19571,0.6095745924866904,0.6370139492105666,0.4598661526343448,0.48955086607735937,0.7298545622329806,0.7517286309890044,0.6834012488068779,0.7652595691211345,1.2832679335526187,1.381136132669954,0.056338028169014086,0.0785856624597619,0.2676056338028169,0.34985437637320527,0.03755868544600939,0.06453425987430382
2007,216,216,0,0,0,0,0,0,0.0,0.0,20102,0.6058536280840804,0.6380459655755646,0.43961866229955554,0.4760222863396677,0.69995060337524,0.7253747710156874,0.08469878244311707,0.088046512271128,0.08517251506782796,0.08843239127841393,0.0,0.0,0.0,0.0,0.0,0.0
2008,221,221,0,0,0,0,0,0,0.0,0.0,20904,0.6119099318719579,0.6371986222732492,0.4447376813255488,0.4780424799081516,0.701539659391823,0.7278239774977768,0.3447049061545111,0.3157622842563329,0.6237892917698307,0.5412794091754699,0.04072398190045249,0.05128205128205128,0.11764705882352941,0.08161117489475699,0.0,0.0
2009,219,219,0,0,0,0,0,0,0.0,0.0,20897,0.6128586941078344,0.6389912427621189,0.4460943872968702,0.47844188160980045,0.6982362315284156,0.7253358073744325,0.7113288985063377,0.7010285050758293,1.5415762037134244,1.4748561529840059,0.0684931506849315,0.06661243240656553,0.3470319634703196,0.4041249940182801,0.0,0.0
2010,231,231,0,0,0,0,0,0,0.0,0.0,24184,0.5576007467813379,0.5752563678465101,0.41598288071314576,0.4354118425405227,0.7169508387440392,0.7314026264797316,0.19609044371367085,0.2094902040649254,0.29146470201975627,0.3169994681101104,0.0,0.0,0.0,0.0,0.0,0.0
2011,227,227,0,0,0,0,0,0,0.0,0.0,23649,0.6037382828033595,0.6176582519345427,0.4358829723858363,0.45946974502093113,0.6960582354051986,0.7218421667053992,0.09747928907290915,0.09713200750199208,0.11218130442387944,0.11235231719773481,0.0,0.0,0.0,0.0,0.0,0.0
2012,234,234,0,0,0,0,0,0,0.0,0.0,23542,0.638406004260517,0.6536403024381956,0.469766833719886,0.4922266587375754,0.7098789314620224,0.7312779382084142,0.298113315096599,0.3006585909186548,0.4151820018008818,0.4180347814475797,0.0,0.0,0.0,0.0,0.0,0.0
2013,249,249,0,0,0,0,0,0,0.0,0.0,27131,0.5953018264592491,0.6148686004939,0.43856558496601966,0.4630127897976484,0.7063436927459379,0.7304989507996629,0.5947769143184866,0.6347989769733179,0.8203371746225773,0.8475126779589698,0.028112449799196786,0.036231616969518265,0.18473895582329317,0.2262725295787107,0.0,0.0
2014,248,248,0,0,0,0,0,0,0.0,0.0,27610,0.5844272852739318,0.6011952191235059,0.4233457615517199,0.4473741398044187,0.696118460142478,0.7195871542107707,0.10490900984644838,0.10836266053682438,0.16673321269120542,0.17148404241897156,0.0,0.0,0.0,0.0,0.0,0.0
2015,247,247,0,0,0,0,0,0,0.0,0.0,26821,0.6429330322200768,0.6548972819805376,0.4586377813783407,0.4833525968457552,0.6879022021231789,0.7171734296521336,0.0637276079845099,0.06447841500915664,0.06957019828517165,0.07054087409405516,0.0,0.0,0.0,0.0,0.0,0.0
2016,263,263,0,0,0,0,0,0,0.0,0.0,28719,0.6187382031863952,0.6332044987638845,0.4200449486085415,0.44162401197813295,0.6564087582654385,0.6789881599640879,0.0919762206689652,0.09044215802608327,0.10667381354451018,0.10502874573425151,0.0,0.0,0.0,0.0,0.0,0.0
2017,259,259,0,0,0,0,0,0,0.0,0.0,28565,0.6411058853804449,0.658568177840014,0.4260205572646879,0.4527218624190443,0.6409777198149885,0.668919020499506,0.09928498686907615,0.10247431837747945,0.13452554044908768,0.13684978793515842,0.0,0.0,0.0,0.0,0.0,0.0
2018,277,277,0,0,0,0,0,0,0.0,0.0,35236,0.5756107664661785,0.5895391077307299,0.37902713007982297,0.4028834146895221,0.6346653346264038,0.6606191236724299,0.4323358502690638,0.4325898340740612,1.1031891090824315,0.986826818973431,0.0036101083032490976,0.0016460438188216596,0.032490974729241874,0.047678510614144624,0.0,0.0
2019,280,280,0,0,0,0,0,0,0.0,0.0,34628,0.6062533511493129,0.6181702668360864,0.37495978134124647,0.40117823726464136,0.59107477241899,0.6223552060304101,0.23190039591483022,0.24348147486837102,0.2917974389383624,0.2939981185681924,0.0,0.0,0.0,0.0,0.0,0.0
2020,276,276,0,0,0,0,0,0,0.0,0.0,31939,0.604907876785458,0.6220608034064936,0.37101862587646695,0.4002316916622311,0.5782503643944665,0.611527803286731,0.5009967195780699,0.47511468364886394,0.6730696338882887,0.6154794210629406,0.010869565217391304,0.008610163123454084,0.13768115942028986,0.1282757756974232,0.0,0.0
2021,276,276,46,56,87,149,5,5,0.16666666666666666,0.2028985507246377,30903,0.5848983828274977,0.6084522538264894,0.3499968528367749,0.3825518558068796,0.5636512977296224,0.598407674398132,0.9934213052057249,0.9907918040925043,1.4818402629021863,1.4035930336796212,0.26811594202898553,0.2831440313238197,0.5833333333333334,0.5951849335016017,0.036231884057971016,0.04853897679836909
2022,268,268,50,50,610,637,41,41,0.1865671641791045,0.1865671641791045,31005,0.5917778689374338,0.6179970972423803,0.33714407579199573,0.37626189324302534,0.5376497088182987,0.5806648246888811,0.8049973519076844,0.9155613722766904,1.2922495865919137,1.4238158876104496,0.27611940298507465,0.3619738751814224,0.4253731343283582,0.5235284631511047,0.13432835820895522,0.1720690211256249
2023,273,273,0,0,0,0,0,0,0.0,0.0,31525,0.5844177637663319,0.6189690721649485,0.3354038054670346,0.3818556701030928,0.5402344192238667,0.5875043169557935,0.13397073388458347,0.1365564919890959,0.1351605507168077,0.13776707636647578,0.0,0.0,0.0,0.0,0.0,0.0
2024,272,272,0,0,0,0,0,0,0.0,0.0,31118,0.6129071825504457,0.6422970627932386,0.3543889571734739,0.3877819911305354,0.5455707307829952,0.5762867066961155,0.1492688179922012,0.15420989370403973,0.1512832391185541,0.15643466626178731,0.0,0.0,0.0,0.0,0.0,0.0
2025,264,264,61,61,158,158,5,5,0.23106060606060605,0.23106060606060605,25504,0.6939870814631434,0.7180834378920954,0.0329179127404475,0.026152760351317413,0.043175576178383995,0.034516953864183145,0.5276724531660124,0.5732741669764122,0.8777655102744333,0.9670488714250786,0.045454545454545456,0.05140370138017566,0.3181818181818182,0.39064460476787954,0.0,0.0
